stop_id,stop_name,stop_lat,stop_lon,location_type
6062,33441 - ALANLI MAHALLE CAMİ,41.3301,36.2102,0
6129,12331 - DİKMEN VADİ SİTESİ,41.312124756451,36.3156619102674,0
6209,11641 - İLKADIM GENÇLİK MERKEZİ 1,41.28459488197985,36.30763103351592,0
6258,33992 - 354.SOKAK,41.322508,36.284832,0
6282,13601 - ZABITA,41.270194,36.343879,0
6327,32282 - AFAD,41.32343,36.255305,0
6339,70022 - DEREKÖY,41.454783,36.124616,0
10060,65622 - Sanayi,41.206381,36.695556,0
10092,78092 - Söğütlü 1 ,41.220035,36.877901,0
908,Ömürevleri,41.33681655318877,36.25870227813721,0
4712,60132 - ORGANİZE SANAYİ,41.2293559838516,36.4232747316614,0
4728,10462 - DEREBAHÇE IRMAK,41.264667,36.341721,0
4868,12052 - ÇATALARMUT,41.2865077578907,36.3081638211455,0
4878,11071 - ŞEHİT KORHAN EKİZ BULVARI,41.2758,36.3252,0
4939,12881 - MİTHATPAŞA ANADOLU LİSESİ,41.2682465535312,36.3066716937062,0
4991,11161 - FEN İŞLERİ ŞANTİYESİ,41.2846,36.3099,0
5108,32452 - ALPARSLAN CADDESİ 1,41.334939,36.249023,0
5119,30722 - IŞIKKENT,41.4049,36.1834,0
5173,32372 - ÇOBANÖZÜ KÖY KONAĞI,41.3118,36.2526,0
5266,11292 - HAMİT DEMİR SOKAK,41.273439817279,36.3188452296395,0
5335,10081 - GENÇLİK PARKI,41.3045,36.3316,0
5353,30731 - ÇAKIRLAR KÖPRÜSÜ,41.4069,36.1804,0
5402,32871 - DOĞAN CADDESİ,41.352103,36.22914,0
5422,12451 - MEHTAP PARKI,41.317,36.3152,0
5438,31911 - NİŞANTAŞI CADDESİ,41.321405,36.282858,0
5453,12151 - 30 AĞUSTOS CADDESİ 1,41.2883763511702,36.3081906114861,0
5502,31492 - KAMALI TOKİ KAVŞAĞI,41.3369,36.2506,0
5525,33451 - ALANLI 2,41.3305,36.2088,0
5554,33322 - 75.YIL CAMİ,41.3408,36.2413,0
5606,12752 - KAZIM KARABEKİR MAHALLESİ,41.26642,36.328012,0
5631,10501 - ADALET MAHALLESİ,41.2692,36.3339,0
5684,50562 - GAZİ OSMAN PAŞA MAHALLESİ MEZARLIĞI,41.25391,36.358101,0
5712,60131 - ORGANİZE SANAYİ,41.228874,36.423283,0
5776,31162 - ARDEŞEN SOKAK,41.311664,36.295697,0
5810,33002 - NERGİS,41.352606,36.208124,0
5840,60711 - İSTİKLAL CADDESİ,41.206966,36.469329,0
5875,50841 - 322.SOKAK,41.254584,36.361967,0
5958,65111 - HAVAALANI NİZAMİYE,41.254772,36.553078,0
6007,10132 - KENAN ŞARA KÖPRÜSÜ,41.3209211073315,36.3223993721087,0
6130,12341 - GÜNEŞ APARTMANI,41.3141163981262,36.3182826167263,0
6133,32151 - HÜRRİYET CADDESİ,41.30746,36.277994,0
6256,33982 - 358.SOKAK,41.321649,36.287483,0
